Season,Time,Zone,max_sal,mean_sal,var_sal
FALL,Day,Ambient,28.49729411,27.175552840384615,0.36319364456609854
FALL,Day,Diffuse,28.13003202,27.05781250888889,0.5552282760874404
FALL,Day,Transition,28.80420676,26.962873427777776,1.1575017856474024
FALL,Night,Ambient,27.00824746,26.330475902692307,0.14914747589360805
FALL,Night,Diffuse,27.06774146,25.981282311111112,0.3253603643690382
FALL,Night,Transition,27.23597384,25.76310502722222,0.6624709306796769
SPRING,Day,Ambient,26.14198803,25.0326624924,0.4103942294665505
SPRING,Day,Diffuse,26.3741154,25.091817836451614,0.8859308194119568
SPRING,Day,Offshore,24.60358254,24.517368475,0.009910486671765648
SPRING,Day,Transition,26.93809503,24.938293268333332,1.4641295768762657
SPRING,Night,Ambient,25.02807664,24.231296372916667,0.09109140562691775
SPRING,Night,Diffuse,24.77716809,23.917900549444443,0.09585615075231115
SPRING,Night,Offshore,24.12984958,24.12984958,0
SPRING,Night,Transition,24.84828896,23.860817725555556,0.19010252544361209
